Date,Open,High,Low,Close,Adj Close,Volume
2000-11-16,48300.000000,49100.000000,47800.000000,49000.000000,37388.500000,121200
2000-11-17,48150.000000,49700.000000,47600.000000,48600.000000,37083.285156,204200
2000-11-20,48100.000000,49250.000000,47900.000000,48000.000000,36625.476563,111600
2000-11-21,47800.000000,47950.000000,45650.000000,47200.000000,36015.050781,232100
2000-11-22,45800.000000,47300.000000,45600.000000,45700.000000,34870.507813,119800
2000-11-23,44650.000000,46300.000000,44400.000000,45700.000000,34870.507813,109800
2000-11-24,46000.000000,47450.000000,46000.000000,47400.000000,36167.648438,147000
2000-11-27,48000.000000,49000.000000,47600.000000,48500.000000,37006.980469,174800
2000-11-28,47800.000000,48000.000000,47000.000000,47000.000000,35862.441406,105600
2000-11-29,45400.000000,47500.000000,45400.000000,46100.000000,35175.714844,148200
2000-11-30,45700.000000,46500.000000,45000.000000,45500.000000,34717.898438,113900
2000-12-01,44500.000000,46200.000000,44400.000000,45600.000000,34794.203125,425300
2000-12-04,46450.000000,46700.000000,45200.000000,46000.000000,35099.410156,140700
2000-12-05,46500.000000,48300.000000,46500.000000,48200.000000,36778.089844,471000
2000-12-06,50100.000000,50200.000000,48000.000000,48150.000000,36739.933594,688500
2000-12-07,48650.000000,49450.000000,47900.000000,49000.000000,37388.500000,219200
2000-12-08,48500.000000,49800.000000,48500.000000,49500.000000,37770.023438,146200
2000-12-11,50000.000000,50400.000000,48800.000000,49250.000000,37579.265625,232500
2000-12-12,49500.000000,49950.000000,48800.000000,49250.000000,37579.265625,261200
2000-12-13,48300.000000,50100.000000,48300.000000,49900.000000,38075.230469,207600
2000-12-14,48500.000000,49550.000000,48400.000000,48700.000000,37159.589844,239000
2000-12-15,48500.000000,48650.000000,47500.000000,48650.000000,37121.441406,139300
2000-12-18,47500.000000,48950.000000,47500.000000,48850.000000,37274.039063,68200
2000-12-19,48200.000000,49000.000000,47550.000000,47550.000000,36282.093750,94100
2000-12-20,46000.000000,48200.000000,46000.000000,46750.000000,35671.679688,166600
2000-12-21,46000.000000,48400.000000,45800.000000,48100.000000,36701.777344,218400
2000-12-22,48050.000000,48500.000000,46800.000000,47100.000000,35938.738281,191800
2000-12-25,47100.000000,47100.000000,47100.000000,47100.000000,35938.738281,0
2000-12-26,48050.000000,48050.000000,46950.000000,47000.000000,35862.441406,113900
2000-12-27,47000.000000,47000.000000,47000.000000,47000.000000,35862.441406,0
2000-12-28,47000.000000,47000.000000,47000.000000,47000.000000,35862.441406,0
2000-12-29,47000.000000,47000.000000,47000.000000,47000.000000,35862.441406,0
2001-01-01,47000.000000,47000.000000,47000.000000,47000.000000,35862.441406,0
2001-01-02,47500.000000,47950.000000,46000.000000,47500.000000,37438.808594,123200
